DATE,52WK HIGH,52WK LOW,SECTOR,COMPANY, ISIN  CODE, STATUS,BID,ASK,HIGH,LOW,PREVIOUS PRICE,VOLUME,TOTAL NO OF SHARES ISSUED,MRT CAP ,VWAP,10 % up, 10% down 
1/12/2023,0.45,0.45,COMMERCIAL AND SERVICES,Deacons (East Africa) Plc Ord 2.50AIMS,KE5000005438,S,,,,,0.45,-,"123,558,228","55,601,203",0.45,0.5,0.41
1/12/2023,1.88,0.59,COMMERCIAL AND SERVICES,Eveready East Africa Ltd Ord.1.00,KE0000000588,,,1.3,1.32,1.3,1.34,"2,100","210,000,000","275,100,000",1.31,1.44,1.18
1/12/2023,5.4,2.7,COMMERCIAL AND SERVICES,Express Kenya Plc Ord 5.00AIMS,KE0000000224,,,3.9,3.9,3.6,3.99,"1,000","47,711,481","184,643,431",3.87,4.26,3.48
1/12/2023,4.66,4.66,COMMERCIAL AND SERVICES,Homeboyz Entertainment Plc 0.50GEMS,KE7000001433,,4.66,,,,4.66,-,"63,200,000","294,512,000",4.66,5.13,4.19
1/12/2023,3.83,3.83,COMMERCIAL AND SERVICES,Kenya Airways Ltd Ord 1.00,KE0000000307,S,,,,,3.83,-,"5,681,738,063","21,761,056,781",3.83,4.21,3.45
1/12/2023,4.1,2,COMMERCIAL AND SERVICES,Longhorn Publishers Plc Ord 1.00AIMS,KE2000002275,,2.3,2.5,,,2.31,0,"272,440,473","629,337,493",2.31,2.54,2.08
1/12/2023,5,2.35,COMMERCIAL AND SERVICES,Nairobi Business Ventures Plc Ord. 0.50GEMS,KE5000000090,,2.51,2.77,2.5,2.5,2.55,"1,300","1,353,711,934","3,384,279,835",2.5,2.75,2.25
1/12/2023,21.75,14,COMMERCIAL AND SERVICES,Nation Media Group Plc Ord. 2.50,KE0000000380,,20,20.5,20,20,20,"17,700","190,295,163","3,805,903,260",20,22,18
1/12/2023,3.51,1.8,COMMERCIAL AND SERVICES,Sameer Africa Plc Ord 5.00,KE0000000232,,2.2,2.45,2.35,2.25,2.25,"10,200","278,342,393","626,270,384",2.25,2.48,2.03
1/12/2023,14.3,5.96,COMMERCIAL AND SERVICES,Standard Group Plc Ord 5.00,KE0000000455,,,7.84,,,8.7,-,"81,731,808","711,066,730",8.7,9.57,7.83
1/12/2023,16.4,10.85,COMMERCIAL AND SERVICES,TPS Eastern Africa Ltd Ord 1.00,KE0000000539,,11.55,12.65,12.7,11.55,11.55,"1,700","182,174,108","2,231,632,823",12.25,13.48,11.03
1/12/2023,0.29,0.16,COMMERCIAL AND SERVICES,Uchumi Supermarket Plc Ord 5.00,KE0000000489,,0.17,0.19,0.19,0.17,0.18,"32,100","364,959,616","69,342,327",0.19,0.21,0.17
1/12/2023,3.7,1.94,COMMERCIAL AND SERVICES,WPP Scangroup Plc Ord 1.00,KE0000000562,,2.15,2.19,2.19,2.19,2.09,"2,100","432,155,985","946,421,607",2.19,2.41,1.97
1/12/2023,5.55,5.55,CONSTRUCTION & ALLIED,ARM Cement Plc Ord 1.00,KE0000000034,S,,,,,5.55,-,"959,940,200","5,327,668,110",5.55,6.11,5
1/12/2023,37,21.3,CONSTRUCTION & ALLIED,Bamburi Cement Plc Ord 5.00,KE0000000059,,34.5,35.3,35.1,35,35.05,"3,900","362,959,275","12,721,722,589",35.05,38.56,31.55
1/12/2023,46,35,CONSTRUCTION & ALLIED,Crown Paints Kenya Plc Ord 5.00,KE0000000141,,33,36,36,36,36,100,"142,362,000","5,125,032,000",36,39.6,32.4
1/12/2023,1.26,0.72,CONSTRUCTION & ALLIED,E.A.Cables Ltd Ord 0.50,KE0000000174,,0.89,0.95,0.9,0.9,0.89,200,"253,125,000","227,812,500",0.9,0.99,0.81
1/12/2023,9.5,5.38,CONSTRUCTION & ALLIED,E.A.Portland Cement Co. Ltd Ord 5.00,KE0000000190,,,,9.34,9.34,8.5,100,"90,000,000","840,600,000",9.34,10.27,8.41
1/12/2023,3.88,2,ENERGY & PETROLEUM,KenGen Co. Plc Ord. 2.50,KE0000000547,xd,2.14,2.15,2.26,2.08,2.3,"493,400","6,594,522,339","14,112,277,805",2.14,2.35,1.93
1/12/2023,2.11,1.3,ENERGY & PETROLEUM,Kenya Power & Lighting Co Plc Ord 2.50,KE0000000349,,1.38,1.41,1.42,1.37,1.4,"72,400","1,951,467,045","2,712,539,193",1.39,1.53,1.25
1/12/2023,4.2,4.1,ENERGY & PETROLEUM,Kenya Power & Lighting Plc 4% Pref 20.00,KE4000001877,,,,,,4.11,-,,,4.11,,
1/12/2023,6,6,ENERGY & PETROLEUM,Kenya Power & Lighting Plc 7% Pref 20.00,KE4000002982,,,,,,6,-,,,6,,
1/12/2023,26.4,14.55,ENERGY & PETROLEUM,TotalEnergies Marketing Kenya Plc Ord 5.00,KE0000000463,,16.4,16.5,16.65,16.5,16.65,"2,300","175,065,000","2,897,325,750",16.55,18.21,14.9
1/12/2023,18,6.3,ENERGY & PETROLEUM,Umeme Ltd Ord 0.50,UG0000001145,cd,14,14.7,14.7,14,14.95,"1,200","1,623,878,005","23,221,455,472",14.3,15.73,12.87
1/12/2023,6.7,4.01,INSURANCE,Britam Holdings Plc Ord 0.10,KE2000002192,,5.02,5.1,5.1,5.1,5.1,"9,600","2,523,486,816","12,869,782,762",5.1,5.61,4.59
1/12/2023,2.53,1.6,INSURANCE,CIC Insurance Group Ltd Ord.1.00,KE2000002317,,2.3,2.45,2.45,2.4,2.45,"3,100","2,615,538,528","6,329,603,238",2.42,2.66,2.18
1/12/2023,255,142,INSURANCE,Jubilee Holdings Ltd Ord 5.00,KE0000000273,,182,191.75,182,182,183,200,"72,472,950","13,190,076,900",182,200.2,163.8
1/12/2023,2.18,1.5,INSURANCE,Kenya Re Insurance Corporation Ltd Ord 2.50,KE0000000604,,1.79,1.8,1.83,1.8,1.76,"22,600","2,799,796,272","5,095,629,215",1.82,2,1.64
1/12/2023,7.48,3.3,INSURANCE,Liberty Kenya Holdings Ltd Ord. 1.00,KE2000002168,,3.91,,3.91,3.9,3.56,500,"535,707,499","2,094,616,321",3.91,4.3,3.52
1/12/2023,11.7,6.7,INSURANCE,Sanlam Kenya Plc Ord 5.00,KE0000000414,,6.12,7.48,7.48,7.46,6.8,"1,100","144,000,000","1,077,120,000",7.48,8.23,6.73
1/12/2023,10,7.6,INVESTMENT,Centum Investment Co Plc Ord 0.50,KE0000000265,,8.42,8.5,8.8,8.4,8.5,"29,900","665,441,714","5,656,254,569",8.5,9.35,7.65
1/12/2023,0.41,0.27,INVESTMENT,Home Afrika Ltd Ord 1.00GEMS,KE2000007258,,0.29,0.3,0.3,0.3,0.29,"83,800","405,255,320","121,576,596",0.3,0.33,0.27
1/12/2023,1500,"1,500.00",INVESTMENT,Kurwitu Ventures Ltd Ord 100.00GEMS,KE4000001216,,,,,,"1,500.00",-,"102,272","153,408,000",1500,1650,"1,350.00"
1/12/2023,5.6,1.91,INVESTMENT,Olympia Capital Holdings Ltd Ord 5.00,KE0000000166,,2.8,3.3,,,3.1,-,"40,000,000","124,000,000",3.1,3.41,2.79
1/12/2023,1.35,0.45,INVESTMENT,Trans-Century Plc Ord 0.50AIMS,KE2000002184,,,0.5,0.51,0.46,0.51,"48,700","1,128,028,321","564,014,161",0.5,0.55,0.45
